ENSMUSG00000000001.4	Gnai3
ENSMUSG00000000003.12	Pbsn
ENSMUSG00000000028.11	Cdc45
ENSMUSG00000000031.12	H19
ENSMUSG00000000037.13	Scml2
ENSMUSG00000000049.8	Apoh
ENSMUSG00000000056.7	Narf
ENSMUSG00000000058.6	Cav2
ENSMUSG00000000078.6	Klf6
ENSMUSG00000000085.13	Scmh1
ENSMUSG00000000088.6	Cox5a
ENSMUSG00000000093.6	Tbx2
ENSMUSG00000000094.9	Tbx4
ENSMUSG00000000103.9	Zfy2
ENSMUSG00000000120.6	Ngfr
ENSMUSG00000000125.5	Wnt3
ENSMUSG00000000126.8	Wnt9a
ENSMUSG00000000127.11	Fer
ENSMUSG00000000131.12	Xpo6
ENSMUSG00000000134.14	Tfe3
ENSMUSG00000000142.12	Axin2
ENSMUSG00000000148.14	Brat1
ENSMUSG00000000149.7	Gna12
ENSMUSG00000000154.12	Slc22a18
ENSMUSG00000000157.12	Itgb2l
ENSMUSG00000000159.12	Igsf5
ENSMUSG00000000167.11	Pih1d2
ENSMUSG00000000168.6	Dlat
ENSMUSG00000000171.4	Sdhd
ENSMUSG00000000182.7	Fgf23
ENSMUSG00000000183.5	Fgf6
ENSMUSG00000000184.9	Ccnd2
ENSMUSG00000000194.10	Gpr107
ENSMUSG00000000197.7	Nalcn
ENSMUSG00000000202.6	Btbd17
ENSMUSG00000000204.12	Slfn4
ENSMUSG00000000214.7	Th
ENSMUSG00000000215.7	Ins2
ENSMUSG00000000216.8	Scnn1g
ENSMUSG00000000223.10	Drp2
ENSMUSG00000000244.13	Tspan32
ENSMUSG00000000247.8	Lhx2
ENSMUSG00000000248.13	Clec2g
ENSMUSG00000000253.9	Gmpr
ENSMUSG00000000263.12	Glra1
ENSMUSG00000000266.8	Mid2
ENSMUSG00000000275.13	Trim25
ENSMUSG00000000276.8	Dgke
ENSMUSG00000000278.10	Scpep1
ENSMUSG00000000282.9	Mnt
ENSMUSG00000000290.10	Itgb2
ENSMUSG00000000295.9	Hddc2
ENSMUSG00000000296.7	Tpd52l1
ENSMUSG00000000301.13	Pemt
ENSMUSG00000000303.9	Cdh1
ENSMUSG00000000305.9	Cdh4
ENSMUSG00000000308.11	Ckmt1
ENSMUSG00000000317.8	Bcl6b
ENSMUSG00000000318.13	Clec10a
ENSMUSG00000000320.7	Alox12
ENSMUSG00000000325.12	Arvcf
ENSMUSG00000000326.9	Comt
ENSMUSG00000000339.11	Rtca
ENSMUSG00000000340.7	Dbt
ENSMUSG00000000346.8	Dazap2
ENSMUSG00000000355.10	Mcts1
ENSMUSG00000000359.3	Rem1
ENSMUSG00000000365.8	Rnf17
ENSMUSG00000000374.7	Trappc10
ENSMUSG00000000378.12	Ccm2
ENSMUSG00000000381.10	Wap
ENSMUSG00000000384.12	Tbrg4
ENSMUSG00000000385.7	Tmprss2
ENSMUSG00000000386.11	Mx1
ENSMUSG00000000392.14	Fap
ENSMUSG00000000394.12	Gcg
ENSMUSG00000000399.7	Ndufa9
ENSMUSG00000000402.2	Egfl6
ENSMUSG00000000409.11	Lck
ENSMUSG00000000411.7	Tssk3
ENSMUSG00000000416.13	Cttnbp2
ENSMUSG00000000420.12	Galnt1
ENSMUSG00000000435.1	Myf5
ENSMUSG00000000439.8	Mkrn2
ENSMUSG00000000440.9	Pparg
ENSMUSG00000000441.14	Raf1
ENSMUSG00000000486.10	Sept1
ENSMUSG00000000489.6	Pdgfb
ENSMUSG00000000530.13	Acvrl1
ENSMUSG00000000531.4	Grasp
ENSMUSG00000000532.10	Acvr1b
ENSMUSG00000000538.15	Tom1l2
ENSMUSG00000000544.11	Gpa33
ENSMUSG00000000552.9	Zfp385a
ENSMUSG00000000555.6	Itga5
