"gene_ids"	"gene_symbols"	"locus"	"num_cells_expressed"	"mean_expr"	"percent_detection"	"use_for_ordering"
"ENSMUSG00000000001.4"	"Gnai3"	"chr3:108107279-108146146"	354	1.23350735418646	47.3895582329317	FALSE
"ENSMUSG00000000003.12"	"Pbsn"	"chrX:77837900-77853623"	0	0	0	FALSE
"ENSMUSG00000000028.11"	"Cdc45"	"chr16:18780446-18835261"	205	0.783493029018234	27.4431057563588	FALSE
"ENSMUSG00000000031.12"	"H19"	"chr7:142575528-142578143"	95	0.167548728842099	12.7175368139224	TRUE
"ENSMUSG00000000037.13"	"Scml2"	"chrX:161117192-161258213"	43	0.0429645923225331	5.75635876840696	FALSE
"ENSMUSG00000000049.8"	"Apoh"	"chr11:107933386-108414396"	2	0.000384578925398431	0.267737617135207	FALSE
"ENSMUSG00000000056.7"	"Narf"	"chr11:121237252-121255856"	239	0.660497519017204	31.9946452476573	FALSE
"ENSMUSG00000000058.6"	"Cav2"	"chr6:17197750-17385604"	6	0.00479074144066227	0.803212851405622	FALSE
"ENSMUSG00000000078.6"	"Klf6"	"chr13:5861488-5870393"	246	0.371815642026164	32.9317269076305	FALSE
"ENSMUSG00000000085.13"	"Scmh1"	"chr4:120405280-120530186"	125	0.315836771445975	16.7336010709505	FALSE
"ENSMUSG00000000088.6"	"Cox5a"	"chr9:57521231-57543187"	629	6.15402311220668	84.2034805890228	FALSE
"ENSMUSG00000000093.6"	"Tbx2"	"chr11:85832550-85841948"	133	0.133642816608027	17.8045515394913	FALSE
"ENSMUSG00000000094.9"	"Tbx4"	"chr11:85886421-85916097"	0	2.46741051228961e-05	0	FALSE
"ENSMUSG00000000103.9"	"Zfy2"	"chrY:2106014-2170409"	0	0	0	FALSE
"ENSMUSG00000000120.6"	"Ngfr"	"chr11:95568817-95587735"	103	0.172909549684652	13.7884872824632	FALSE
"ENSMUSG00000000125.5"	"Wnt3"	"chr11:103774149-103817957"	3	0.00249121720148949	0.401606425702811	FALSE
"ENSMUSG00000000126.8"	"Wnt9a"	"chr11:59306927-59333552"	2	0.00144688304483303	0.267737617135207	FALSE
"ENSMUSG00000000127.11"	"Fer"	"chr17:63896017-64139494"	121	0.213619191486992	16.1981258366801	FALSE
"ENSMUSG00000000131.12"	"Xpo6"	"chr7:126101714-126200501"	146	0.243587249322794	19.5448460508701	FALSE
"ENSMUSG00000000134.14"	"Tfe3"	"chrX:7762559-7775202"	99	0.164814392967682	13.2530120481928	FALSE
"ENSMUSG00000000142.12"	"Axin2"	"chr11:108920348-108950783"	29	0.0308420257085191	3.88219544846051	FALSE
"ENSMUSG00000000148.14"	"Brat1"	"chr5:140705010-140719379"	59	0.106156795650693	7.89825970548862	FALSE
"ENSMUSG00000000149.7"	"Gna12"	"chr5:140758407-140830431"	63	0.103449970007439	8.43373493975904	FALSE
"ENSMUSG00000000154.12"	"Slc22a18"	"chr7:143473720-143499334"	0	0	0	FALSE
"ENSMUSG00000000157.12"	"Itgb2l"	"chr16:96361667-96525793"	0	0	0	FALSE
"ENSMUSG00000000159.12"	"Igsf5"	"chr16:96361667-96525793"	1	0.000418047243997846	0.133868808567604	FALSE
"ENSMUSG00000000167.11"	"Pih1d2"	"chr9:50603900-50624997"	27	0.0781986655919225	3.6144578313253	FALSE
"ENSMUSG00000000168.6"	"Dlat"	"chr9:50634632-50659780"	160	0.437327787706522	21.4190093708166	FALSE
"ENSMUSG00000000171.4"	"Sdhd"	"chr9:50596337-50603849"	449	2.35625124626027	60.1070950468541	FALSE
"ENSMUSG00000000182.7"	"Fgf23"	"chr6:127072901-127081408"	0	0	0	FALSE
"ENSMUSG00000000183.5"	"Fgf6"	"chr6:127015541-127024718"	0	0	0	FALSE
"ENSMUSG00000000184.9"	"Ccnd2"	"chr6:127125778-127212411"	30	0.0398630861739079	4.01606425702811	FALSE
"ENSMUSG00000000194.10"	"Gpr107"	"chr2:31152315-31218775"	160	0.326976221166742	21.4190093708166	FALSE
"ENSMUSG00000000197.7"	"Nalcn"	"chr14:123276640-123627144"	17	0.0131820350650406	2.27576974564926	FALSE
"ENSMUSG00000000202.6"	"Btbd17"	"chr11:114791216-114795945"	212	1.06786060261906	28.380187416332	TRUE
"ENSMUSG00000000204.12"	"Slfn4"	"chr11:83175185-83190221"	0	0	0	FALSE
"ENSMUSG00000000214.7"	"Th"	"chr7:142892751-142931128"	3	0.00925266208855679	0.401606425702811	FALSE
"ENSMUSG00000000215.7"	"Ins2"	"chr7:142678655-142699510"	0	0	0	FALSE
"ENSMUSG00000000216.8"	"Scnn1g"	"chr7:121734478-121768475"	0	0.000149395450919051	0	FALSE
"ENSMUSG00000000223.10"	"Drp2"	"chrX:134404550-134456573"	4	0.00243021498843971	0.535475234270415	FALSE
"ENSMUSG00000000244.13"	"Tspan32"	"chr7:142988968-143019644"	0	0	0	FALSE
"ENSMUSG00000000247.8"	"Lhx2"	"chr2:38339280-38369733"	259	0.37514463906195	34.6720214190094	FALSE
"ENSMUSG00000000248.13"	"Clec2g"	"chr6:128934380-128984707"	140	0.0545361579039507	18.7416331994645	FALSE
"ENSMUSG00000000253.9"	"Gmpr"	"chr13:45507443-45546382"	23	0.0722678252105685	3.07898259705489	TRUE
"ENSMUSG00000000263.12"	"Glra1"	"chr11:55514237-55608198"	14	0.0034941606745254	1.87416331994645	FALSE
"ENSMUSG00000000266.8"	"Mid2"	"chrX:140664598-140767715"	5	0.00903618774439098	0.669344042838019	FALSE
"ENSMUSG00000000275.13"	"Trim25"	"chr11:88999375-89020293"	18	0.0183720236273096	2.40963855421687	FALSE
"ENSMUSG00000000276.8"	"Dgke"	"chr11:89035178-89069098"	48	0.0586010800224338	6.42570281124498	FALSE
"ENSMUSG00000000278.10"	"Scpep1"	"chr11:88905927-88955465"	264	0.83578756153488	35.3413654618474	FALSE
"ENSMUSG00000000282.9"	"Mnt"	"chr11:74830919-74845725"	41	0.0150063465283099	5.48862115127175	FALSE
"ENSMUSG00000000290.10"	"Itgb2"	"chr10:77530251-77565686"	1	0.000326790062935635	0.133868808567604	FALSE
"ENSMUSG00000000295.9"	"Hddc2"	"chr10:31313381-31328204"	196	1.04472181682805	26.2382864792503	TRUE
"ENSMUSG00000000296.7"	"Tpd52l1"	"chr10:31332379-31445921"	16	0.0308781539606488	2.14190093708166	FALSE
"ENSMUSG00000000301.13"	"Pemt"	"chr11:59970613-60046489"	34	0.172882777197083	4.55153949129853	TRUE
"ENSMUSG00000000303.9"	"Cdh1"	"chr8:106603350-106670246"	1	0.000100441455831568	0.133868808567604	FALSE
"ENSMUSG00000000305.9"	"Cdh4"	"chr2:179442430-179899373"	110	0.107143571528432	14.7255689424364	FALSE
"ENSMUSG00000000308.11"	"Ckmt1"	"chr2:121357713-121387168"	8	0.0170341353071198	1.07095046854083	TRUE
"ENSMUSG00000000317.8"	"Bcl6b"	"chr11:70224127-70229798"	4	0.00363492751179453	0.535475234270415	FALSE
"ENSMUSG00000000318.13"	"Clec10a"	"chr11:70156196-70170834"	0	0	0	FALSE
"ENSMUSG00000000320.7"	"Alox12"	"chr11:70241456-70255353"	0	0	0	FALSE
"ENSMUSG00000000325.12"	"Arvcf"	"chr16:18348181-18479073"	277	0.524815775268601	37.0816599732262	FALSE
"ENSMUSG00000000326.9"	"Comt"	"chr16:18348181-18479073"	240	0.779684186890176	32.1285140562249	FALSE
"ENSMUSG00000000339.11"	"Rtca"	"chr3:116488962-116508208"	245	0.84573589557428	32.7978580990629	FALSE
"ENSMUSG00000000340.7"	"Dbt"	"chr3:116513069-116549981"	107	0.180130327480864	14.3239625167336	FALSE
"ENSMUSG00000000346.8"	"Dazap2"	"chr15:100615627-100620731"	622	4.99101481387799	83.2663989290495	FALSE
"ENSMUSG00000000355.10"	"Mcts1"	"chrX:38600577-38613426"	233	1.50575874332282	31.1914323962517	TRUE
"ENSMUSG00000000359.3"	"Rem1"	"chr2:152626950-152635198"	2	0.000625138236278469	0.267737617135207	FALSE
"ENSMUSG00000000365.8"	"Rnf17"	"chr14:56402696-56525032"	1	0.0014940754538796	0.133868808567604	FALSE
"ENSMUSG00000000374.7"	"Trappc10"	"chr10:78186724-78244642"	28	0.0136996097531059	3.7483266398929	FALSE
"ENSMUSG00000000378.12"	"Ccm2"	"chr11:6546886-6596744"	95	0.262877958822089	12.7175368139224	FALSE
"ENSMUSG00000000381.10"	"Wap"	"chr11:6635481-6638637"	1	0.000911450305400978	0.133868808567604	FALSE
"ENSMUSG00000000384.12"	"Tbrg4"	"chr11:6615598-6626067"	129	0.27264490995576	17.2690763052209	FALSE
"ENSMUSG00000000385.7"	"Tmprss2"	"chr16:97564683-97611195"	0	0	0	FALSE
"ENSMUSG00000000386.11"	"Mx1"	"chr16:97447036-97462906"	0	2.10351155967988e-05	0	FALSE
"ENSMUSG00000000392.14"	"Fap"	"chr2:62500942-62574075"	0	0	0	FALSE
"ENSMUSG00000000394.12"	"Gcg"	"chr2:62474529-62483650"	0	2.76982428759713e-05	0	FALSE
